scope,model,label,mode,cue,population,turn,metric,numerator,denominator,judgments,estimate,lower_95,upper_95,unit
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,initial_correct,1,first_error,601,684,684,87.86549707602339,85.14635854341736,90.10343609583686,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,initial_correct,1,cumulative_error,601,684,684,87.86549707602339,85.14635854341736,90.10343609583686,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,initial_correct_not_yet_wrong,1,first_error_hazard,601,684,684,87.86549707602339,85.14635854341736,90.10343609583686,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,initial_wrong,1,first_correction,179,190,190,94.21052631578948,90.68595702529717,97.28260869565217,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,initial_correct_final_wrong,1,final_error_first_at_this_turn,600,628,628,95.54140127388536,93.82109311584401,97.0445768464844,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,initial_correct,2,first_error,21,684,684,3.070175438596491,1.8704364094930952,4.41836194453957,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,initial_correct,2,cumulative_error,622,684,684,90.93567251461988,88.53374565353701,92.9412206323971,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,initial_correct_not_yet_wrong,2,first_error_hazard,21,83,83,25.301204819277107,16.278343023255815,34.66666666666667,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,initial_wrong,2,first_correction,3,190,190,1.5789473684210527,0.0,3.4657775479040422,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,initial_correct_final_wrong,2,final_error_first_at_this_turn,21,628,628,3.343949044585987,2.04049794644847,4.817422631955646,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,initial_correct,3,first_error,7,684,684,1.023391812865497,0.298496340948017,1.8867924528301887,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,initial_correct,3,cumulative_error,629,684,684,91.95906432748538,89.79591836734694,93.86634212859906,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,initial_correct_not_yet_wrong,3,first_error_hazard,7,62,62,11.29032258064516,4.166666666666666,19.643588992974234,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,initial_wrong,3,first_correction,1,190,190,0.5263157894736842,0.0,1.685631308322223,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,initial_correct_final_wrong,3,final_error_first_at_this_turn,7,628,628,1.1146496815286624,0.32780221244835395,2.06357407827996,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,initial_correct_ever_wrong,3,recovered_by_final,1,629,629,0.1589825119236884,0.0,0.4878048780487805,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,initial_correct_ever_wrong,3,wrong_at_final,628,629,629,99.84101748807632,99.51219512195122,100.0,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,initial_correct_ever_wrong,3,abstaining_at_final,0,629,629,0.0,0.0,0.0,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,initial_wrong,3,ever_corrected,183,190,190,96.3157894736842,93.4065934065934,98.87640449438202,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,initial_wrong,3,never_corrected,7,190,190,3.684210526315789,1.1235955056179776,6.593406593406594,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,initial_wrong_ever_corrected,3,correction_lost,0,183,183,0.0,0.0,0.0,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,initial_wrong_ever_corrected,3,correct_at_final,183,183,183,100.0,100.0,100.0,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,ai_safety_researcher,initial_correct,1,first_error,6,684,684,0.8771929824561403,0.28734601494087963,1.6248754512162076,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,ai_safety_researcher,initial_correct,1,cumulative_error,6,684,684,0.8771929824561403,0.28734601494087963,1.6248754512162076,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,ai_safety_researcher,initial_correct_not_yet_wrong,1,first_error_hazard,6,684,684,0.8771929824561403,0.28734601494087963,1.6248754512162076,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,ai_safety_researcher,initial_wrong,1,first_correction,3,190,190,1.5789473684210527,0.0,3.5897435897435894,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,ai_safety_researcher,initial_correct_final_wrong,1,final_error_first_at_this_turn,6,7,7,85.71428571428571,50.0,100.0,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,ai_safety_researcher,initial_correct,2,first_error,1,684,684,0.14619883040935672,0.0,0.4491017964071856,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,ai_safety_researcher,initial_correct,2,cumulative_error,7,684,684,1.023391812865497,0.2932551319648094,1.8571428571428572,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,ai_safety_researcher,initial_correct_not_yet_wrong,2,first_error_hazard,1,678,678,0.14749262536873156,0.0,0.4524886877828055,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,ai_safety_researcher,initial_wrong,2,first_correction,0,190,190,0.0,0.0,0.0,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,ai_safety_researcher,initial_correct_final_wrong,2,final_error_first_at_this_turn,1,7,7,14.285714285714285,0.0,50.0,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,ai_safety_researcher,initial_correct,3,first_error,0,684,684,0.0,0.0,0.0,percent
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,ai_safety_researcher,initial_correct,3,cumulative_error,7,684,684,1.023391812865497,0.2932551319648094,1.8571428571428572,percent
