cohort,model,label,input,targets,judgments,violation,no_violation,correct,correct_violation,correct_no_violation,accuracy_pct,accuracy_lower_95,accuracy_upper_95,violation_recall_pct,violation_recall_lower_95,violation_recall_upper_95,no_violation_recall_pct,no_violation_recall_lower_95,no_violation_recall_upper_95,abstention_pct,abstention_lower_95,abstention_upper_95,missing_pct,missing_lower_95,missing_upper_95,balanced_accuracy_pct,balanced_accuracy_lower_95,balanced_accuracy_upper_95
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,GPT-4o mini,full_record,786,748,533,253,531,478,53,67.55725190839695,64.31322207958922,71.04255722559293,89.68105065666042,86.99804418016656,92.14569234074551,20.948616600790515,15.952881082673198,26.250612745098035,8.651399491094148,6.742788344956692,10.660453782281191,0.0,0.0,0.0,55.31483362872547,52.47476972689699,58.35993548652088
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4o-mini,GPT-4o mini,summary,786,748,533,253,525,502,23,66.79389312977099,63.565459531621954,70.0258452116255,94.18386491557223,92.06049149338374,96.01469861660078,9.090909090909092,5.71401412275937,12.869149798702743,4.707379134860051,3.270440251572327,6.2267709656925,0.0,0.0,0.0,51.63738700324066,49.64686290451343,53.81670975487449
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,GPT-4.1 mini,full_record,786,748,533,253,521,439,82,66.2849872773537,62.8457017373894,69.45517686080986,82.3639774859287,79.0518676957441,85.42969309998786,32.41106719367589,26.50937077220999,38.34072525048258,11.323155216284988,9.218905605349267,13.72299872935197,0.0,0.0,0.0,57.387522339802295,53.91921803840854,60.63163395075048
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-4.1-mini,GPT-4.1 mini,summary,786,748,533,253,514,481,33,65.39440203562341,62.086513994910945,68.70289171471752,90.2439024390244,87.5953839752052,92.67868031358886,13.043478260869565,8.870967741935484,17.521367521367523,7.124681933842239,5.356972247497725,9.021867442718365,0.0,0.0,0.0,51.64369034994698,49.25655365175266,54.22364665499741
gpt-4o-mini_knowledge_cutoff_pre,anthropic/claude-opus-4.6,Claude Opus 4.6,full_record,786,748,533,253,583,497,86,74.17302798982189,71.09558745565026,77.32484076433121,93.24577861163228,91.04175970247151,95.30081625296117,33.99209486166008,27.99767441860465,40.0,6.106870229007634,4.469844690749863,7.898253002901005,0.0,0.0,0.0,63.61893673664618,60.444106932662734,66.84529522888577
gpt-4o-mini_knowledge_cutoff_pre,anthropic/claude-opus-4.6,Claude Opus 4.6,summary,786,748,533,253,565,487,78,71.88295165394402,68.84610552763819,75.25462753402955,91.36960600375235,88.88888888888889,93.77513413138851,30.8300395256917,25.396374458874458,36.66698841698841,7.124681933842239,5.428951034272193,9.115425069361043,0.0,0.0,0.0,61.09982276472203,58.02771813949335,64.3323980562158
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-5.6-sol,GPT-5.6-sol,full_record,786,748,533,253,655,513,142,83.33333333333333,80.71065989847716,86.1325050429142,96.24765478424015,94.50752372627372,97.88084401922353,56.126482213438734,49.79316188197767,62.452107279693486,1.7811704834605597,0.8962581581093162,2.6889466167635176,0.0,0.0,0.0,76.18706849883944,73.01479000681975,79.55680042544274
gpt-4o-mini_knowledge_cutoff_pre,openai/gpt-5.6-sol,GPT-5.6-sol,summary,786,748,533,253,644,495,149,81.93384223918575,79.10767720880368,84.59588449339697,92.87054409005628,90.62456837016575,94.92481203007519,58.89328063241107,52.674897119341566,65.16888049856708,4.198473282442748,2.903766437964551,5.60527427531522,0.0,0.0,0.0,75.88191236123367,72.61509593037252,79.17563886444688
gpt-4o-mini_knowledge_cutoff_pre,deepseek/deepseek-v4-pro,DeepSeek V4 Pro,full_record,786,748,533,253,562,483,79,71.50127226463104,68.17566230758094,74.74622493975286,90.61913696060037,88.12214246036832,93.15334465704152,31.225296442687746,25.108179054987566,37.5,8.778625954198473,6.760204081632653,10.755883961448143,0.0,0.0,0.0,60.92221670164406,57.699232052582836,64.38390109196881
gpt-4o-mini_knowledge_cutoff_pre,deepseek/deepseek-v4-pro,DeepSeek V4 Pro,summary,786,748,533,253,549,472,77,69.8473282442748,66.66666666666667,73.20535714285714,88.55534709193246,85.82375478927203,91.06209980183033,30.434782608695652,24.787452017844174,36.07896021479131,9.414758269720101,7.41687979539642,11.538831835686775,0.0,0.0,0.0,59.49506485031406,56.472016456856274,62.60577293753691
