scope,model,label,mode,group,outcome,n,researcher_minus_no_cue_pp,lower_95,upper_95,defined_bootstrap_draws
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,all,correct,874,50.45766590389016,45.08009153318078,55.49485125858122,2000
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,all,wrong,874,-50.45766590389016,-55.494851258581235,-45.08009153318078,2000
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,all,abstention,874,0.0,0.0,0.0,2000
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,all,reversal,874,-91.64759725400458,-93.36384439359267,-89.7025171624714,2000
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,initial_correct,correct,684,90.78947368421052,88.52211825598077,92.74177109440268,2000
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,initial_correct,wrong,684,-90.78947368421052,-92.74177109440268,-88.52211825598077,2000
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,initial_correct,abstention,684,0.0,0.0,0.0,2000
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,initial_correct,reversal,684,-90.78947368421052,-92.74177109440268,-88.52211825598077,2000
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,initial_wrong,correct,190,-94.73684210526316,-97.7780847145488,-91.42780337941629,2000
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,initial_wrong,wrong,190,94.73684210526316,91.42780337941629,97.7780847145488,2000
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,initial_wrong,abstention,190,0.0,0.0,0.0,2000
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,initial_wrong,reversal,190,-94.73684210526316,-97.7780847145488,-91.42780337941629,2000
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive,all,correct,480,50.625,43.958333333333336,57.083333333333336,2000
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive,all,wrong,480,-52.916666666666664,-59.375,-46.25,2000
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive,all,abstention,480,2.2916666666666665,0.8333333333333334,3.75,2000
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive,all,reversal,480,-81.66666666666667,-85.20833333333333,-78.125,2000
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive,initial_correct,correct,398,78.89447236180905,74.68221924300056,82.90155440414507,2000
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive,initial_correct,wrong,398,-80.65326633165829,-84.61636828644501,-76.55790371011248,2000
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive,initial_correct,abstention,398,1.7587939698492463,0.2617801047120419,3.29134806913834,2000
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive,initial_correct,reversal,398,-80.65326633165829,-84.61636828644501,-76.55790371011248,2000
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive,initial_wrong,correct,82,-86.58536585365853,-93.33516483516483,-78.88849765258216,2000
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive,initial_wrong,wrong,82,81.70731707317073,73.56237322515213,89.47368421052632,2000
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive,initial_wrong,abstention,82,4.878048780487805,1.136044433094995,9.85958963658494,2000
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive,initial_wrong,reversal,82,-86.58536585365853,-93.33516483516483,-78.88849765258216,2000
within_model_mode,openai/gpt-5.6-sol,GPT-5.6-sol,static,all,correct,923,34.88624052004334,31.31094257854821,38.24756229685806,2000
within_model_mode,openai/gpt-5.6-sol,GPT-5.6-sol,static,all,wrong,923,-34.88624052004334,-38.24756229685807,-31.31094257854821,2000
within_model_mode,openai/gpt-5.6-sol,GPT-5.6-sol,static,all,abstention,923,0.0,0.0,0.0,2000
within_model_mode,openai/gpt-5.6-sol,GPT-5.6-sol,static,all,reversal,923,-41.603466955579634,-44.7453954496208,-38.46153846153846,2000
within_model_mode,openai/gpt-5.6-sol,GPT-5.6-sol,static,initial_correct,correct,780,45.256410256410255,41.75386025991974,48.7245837089856,2000
within_model_mode,openai/gpt-5.6-sol,GPT-5.6-sol,static,initial_correct,wrong,780,-45.256410256410255,-48.7245837089856,-41.75386025991974,2000
within_model_mode,openai/gpt-5.6-sol,GPT-5.6-sol,static,initial_correct,abstention,780,0.0,0.0,0.0,2000
within_model_mode,openai/gpt-5.6-sol,GPT-5.6-sol,static,initial_correct,reversal,780,-45.256410256410255,-48.7245837089856,-41.75386025991974,2000
within_model_mode,openai/gpt-5.6-sol,GPT-5.6-sol,static,initial_wrong,correct,143,-21.678321678321677,-29.055314643001207,-15.331944444444453,2000
within_model_mode,openai/gpt-5.6-sol,GPT-5.6-sol,static,initial_wrong,wrong,143,21.678321678321677,15.331944444444446,29.055314643001203,2000
within_model_mode,openai/gpt-5.6-sol,GPT-5.6-sol,static,initial_wrong,abstention,143,0.0,0.0,0.0,2000
within_model_mode,openai/gpt-5.6-sol,GPT-5.6-sol,static,initial_wrong,reversal,143,-21.678321678321677,-29.055314643001207,-15.331944444444453,2000
within_model_mode,openai/gpt-5.6-sol,GPT-5.6-sol,adaptive,all,correct,730,38.35616438356164,33.83561643835616,42.602739726027394,2000
within_model_mode,openai/gpt-5.6-sol,GPT-5.6-sol,adaptive,all,wrong,730,-38.35616438356164,-42.602739726027394,-33.83561643835616,2000
within_model_mode,openai/gpt-5.6-sol,GPT-5.6-sol,adaptive,all,abstention,730,0.0,0.0,0.0,2000
within_model_mode,openai/gpt-5.6-sol,GPT-5.6-sol,adaptive,all,reversal,730,-49.58904109589041,-53.15068493150685,-46.02739726027397,2000
within_model_mode,openai/gpt-5.6-sol,GPT-5.6-sol,adaptive,initial_correct,correct,634,50.630914826498426,46.86997086698381,54.51772424722662,2000
within_model_mode,openai/gpt-5.6-sol,GPT-5.6-sol,adaptive,initial_correct,wrong,634,-50.630914826498426,-54.517724247226624,-46.86997086698381,2000
within_model_mode,openai/gpt-5.6-sol,GPT-5.6-sol,adaptive,initial_correct,abstention,634,0.0,0.0,0.0,2000
within_model_mode,openai/gpt-5.6-sol,GPT-5.6-sol,adaptive,initial_correct,reversal,634,-50.630914826498426,-54.517724247226624,-46.86997086698381,2000
within_model_mode,openai/gpt-5.6-sol,GPT-5.6-sol,adaptive,initial_wrong,correct,96,-42.708333333333336,-52.500631313131315,-32.905915287244426,2000
within_model_mode,openai/gpt-5.6-sol,GPT-5.6-sol,adaptive,initial_wrong,wrong,96,42.708333333333336,32.9059152872444,52.50063131313131,2000
within_model_mode,openai/gpt-5.6-sol,GPT-5.6-sol,adaptive,initial_wrong,abstention,96,0.0,0.0,0.0,2000
within_model_mode,openai/gpt-5.6-sol,GPT-5.6-sol,adaptive,initial_wrong,reversal,96,-42.708333333333336,-52.500631313131315,-32.905915287244426,2000
