model,label,mode,turn,cohort_sha256,rule,n,judgments,initial_correct_n,initial_correct_pct,final_correct_n,final_correct_pct,initial_abstention_n,initial_abstention_pct,final_abstention_n,final_abstention_pct,initial_failure_n,initial_failure_pct,final_failure_n,final_failure_pct,categorical_change_n,categorical_change_pct,strict_reversal_n,strict_reversal_pct,lost_correct_n,lost_correct_pct,gained_correct_n,gained_correct_pct,correct_to_wrong_n,correct_to_wrong_pct,wrong_to_correct_n,wrong_to_correct_pct,correct_to_abstention_n,correct_to_abstention_pct,abstention_to_correct_n,abstention_to_correct_pct,correct_to_failure_n,correct_to_failure_pct,failure_to_correct_n,failure_to_correct_pct,initial_exact_50_n,initial_exact_50_pct,final_exact_50_n,final_exact_50_pct,opposes_original_verdict_n,opposes_original_verdict_pct,initial_new_abstention_n,initial_new_abstention_pct,opposition_from_new_initial_abstention_n,opposition_from_new_initial_abstention_pct,accuracy_change_pp,initial_accuracy_pct,final_accuracy_pct,balanced_accuracy_change_pp,net_abstention_loss_n,categorical_change_lower_95,categorical_change_upper_95,strict_reversal_lower_95,strict_reversal_upper_95,opposes_original_verdict_lower_95,opposes_original_verdict_upper_95,accuracy_change_lower_95,accuracy_change_upper_95
anthropic/claude-opus-4.6,Claude Opus 4.6,static,1,81045a6564247a385b1f979599ee0064d40b7ce384b40f4631d493c363eca5c6,band_40_60,7104,874,5609,78.95551801801801,4774,67.20157657657657,0,0.0,224,3.1531531531531534,0,0.0,0,0.0,1988,27.984234234234233,1764,24.83108108108108,1371,19.298986486486488,536,7.545045045045045,1228,17.286036036036037,536,7.545045045045045,143,2.0129504504504503,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1764,24.83108108108108,0,0.0,0,0.0,-11.753941441441441,78.95551801801801,67.20157657657657,-5.815597659315185,143,26.208275397275823,29.77022460702894,23.25951755501658,26.46270321160918,23.25951755501658,26.46270321160918,-14.170026368702722,-9.432739658159536
anthropic/claude-opus-4.6,Claude Opus 4.6,static,2,81045a6564247a385b1f979599ee0064d40b7ce384b40f4631d493c363eca5c6,band_40_60,7104,874,5609,78.95551801801801,4549,64.03434684684684,0,0.0,165,2.322635135135135,0,0.0,0,0.0,2526,35.557432432432435,2361,33.2347972972973,1772,24.943693693693692,712,10.022522522522523,1649,23.212274774774773,712,10.022522522522523,123,1.7314189189189189,0,0.0,0,0.0,0,0.0,0,0.0,1,0.014076576576576577,2361,33.2347972972973,0,0.0,0,0.0,-14.92117117117117,78.95551801801801,64.03434684684684,-6.036464306514209,123,33.73335951596599,37.34645133449574,31.447205558483887,35.01054177768668,31.447205558483887,35.01054177768668,-17.677205837075324,-12.200522549114638
anthropic/claude-opus-4.6,Claude Opus 4.6,static,3,81045a6564247a385b1f979599ee0064d40b7ce384b40f4631d493c363eca5c6,band_40_60,7104,874,5609,78.95551801801801,4514,63.541666666666664,0,0.0,79,1.1120495495495495,0,0.0,0,0.0,2633,37.063626126126124,2554,35.95157657657658,1854,26.097972972972972,759,10.684121621621621,1795,25.267454954954953,759,10.684121621621621,59,0.8305180180180181,0,0.0,0,0.0,0,0.0,0,0.0,1,0.014076576576576577,2554,35.95157657657658,0,0.0,0,0.0,-15.41385135135135,78.95551801801801,63.541666666666664,-6.046517603261428,59,35.27359017308766,38.91203549980836,34.141741126554834,37.75100136682006,34.141741126554834,37.75100136682006,-18.26111811042954,-12.559288951094318
anthropic/claude-opus-4.6,Claude Opus 4.6,static,1,81045a6564247a385b1f979599ee0064d40b7ce384b40f4631d493c363eca5c6,band_45_55,7104,874,5609,78.95551801801801,4830,67.98986486486487,0,0.0,92,1.295045045045045,0,0.0,0,0.0,1975,27.80123873873874,1883,26.506193693693692,1360,19.144144144144143,581,8.17849099099099,1302,18.3277027027027,581,8.17849099099099,58,0.8164414414414415,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1883,26.506193693693692,0,0.0,0,0.0,-10.965653153153152,78.95551801801801,67.98986486486487,-4.4768574332404,58,26.059862610884895,29.575526716625994,24.848050083323784,28.223539211538156,24.848050083323784,28.223539211538156,-13.42292492642036,-8.583849583875603
anthropic/claude-opus-4.6,Claude Opus 4.6,static,2,81045a6564247a385b1f979599ee0064d40b7ce384b40f4631d493c363eca5c6,band_45_55,7104,874,5609,78.95551801801801,4582,64.49887387387388,0,0.0,55,0.7742117117117117,0,0.0,0,0.0,2517,35.43074324324324,2462,34.656531531531535,1765,24.84515765765766,738,10.388513513513514,1724,24.26801801801802,738,10.388513513513514,41,0.5771396396396397,0,0.0,0,0.0,0,0.0,0,0.0,1,0.014076576576576577,2462,34.656531531531535,0,0.0,0,0.0,-14.456644144144143,78.95551801801801,64.49887387387388,-5.259464781241893,41,33.60769063595755,37.22722894035663,32.84734717131405,36.46591556976773,32.84734717131405,36.46591556976773,-17.190782682956076,-11.681610407316054
anthropic/claude-opus-4.6,Claude Opus 4.6,static,3,81045a6564247a385b1f979599ee0064d40b7ce384b40f4631d493c363eca5c6,band_45_55,7104,874,5609,78.95551801801801,4530,63.766891891891895,0,0.0,46,0.6475225225225225,0,0.0,0,0.0,2618,36.85247747747748,2572,36.20495495495496,1843,25.94313063063063,764,10.754504504504505,1808,25.45045045045045,764,10.754504504504505,35,0.49268018018018017,0,0.0,0,0.0,0,0.0,0,0.0,1,0.014076576576576577,2572,36.20495495495496,0,0.0,0,0.0,-15.188626126126126,78.95551801801801,63.766891891891895,-5.773875458210097,35,35.02649963048517,38.67563695138287,34.408056120332496,38.000870958494446,34.408056120332496,38.000870958494446,-18.019456130034502,-12.287674825917696
anthropic/claude-opus-4.6,Claude Opus 4.6,static,1,81045a6564247a385b1f979599ee0064d40b7ce384b40f4631d493c363eca5c6,band_35_65,7104,874,5294,74.5213963963964,4604,64.80855855855856,552,7.77027027027027,586,8.248873873873874,0,0.0,0,0.0,1961,27.604166666666668,1351,19.017454954954953,1190,16.751126126126128,500,7.038288288288288,974,13.710585585585585,377,5.30686936936937,216,3.0405405405405403,123,1.7314189189189189,0,0.0,0,0.0,0,0.0,0,0.0,1636,23.02927927927928,552,7.77027027027027,285,4.011824324324325,-9.712837837837837,74.5213963963964,64.80855855855856,-4.2066827301899075,93,25.922052824366336,29.313779106459357,17.64114987302443,20.391893446642836,21.58891918627158,24.529707100401467,-11.90785752715958,-7.612175778757036
anthropic/claude-opus-4.6,Claude Opus 4.6,static,2,81045a6564247a385b1f979599ee0064d40b7ce384b40f4631d493c363eca5c6,band_35_65,7104,874,5294,74.5213963963964,4401,61.951013513513516,552,7.77027027027027,477,6.714527027027027,0,0.0,0,0.0,2533,35.655968468468465,1882,26.492117117117118,1573,22.142454954954953,680,9.572072072072071,1360,19.144144144144143,522,7.347972972972973,213,2.998310810810811,158,2.224099099099099,0,0.0,0,0.0,0,0.0,1,0.014076576576576577,2243,31.57376126126126,552,7.77027027027027,361,5.0816441441441444,-12.570382882882884,74.5213963963964,61.951013513513516,-4.217143868590156,55,33.879836218648414,37.4983692258768,24.76400076125749,28.215810227219986,29.80443489773629,33.36151287471623,-15.12555023446437,-9.972811987624317
anthropic/claude-opus-4.6,Claude Opus 4.6,static,3,81045a6564247a385b1f979599ee0064d40b7ce384b40f4631d493c363eca5c6,band_35_65,7104,874,5294,74.5213963963964,4396,61.880630630630634,552,7.77027027027027,302,4.251126126126126,0,0.0,0,0.0,2642,37.19031531531532,2138,30.09572072072072,1645,23.15596846846847,747,10.515202702702704,1556,21.903153153153152,582,8.192567567567568,89,1.2528153153153154,165,2.322635135135135,0,0.0,0,0.0,0,0.0,1,0.014076576576576577,2513,35.37443693693694,552,7.77027027027027,375,5.278716216216216,-12.640765765765765,74.5213963963964,61.880630630630634,-3.5472435614038234,-76,35.404254883338545,39.02585906292204,28.262008394253577,31.89152537845044,33.56785166385727,37.15368391170003,-15.341344551222695,-9.968773579888312
anthropic/claude-opus-4.6,Claude Opus 4.6,static,1,81045a6564247a385b1f979599ee0064d40b7ce384b40f4631d493c363eca5c6,binary_50_tie_violation,7104,874,5609,78.95551801801801,4869,68.53885135135135,0,0.0,0,0.0,0,0.0,0,0.0,1954,27.50563063063063,1954,27.50563063063063,1347,18.96114864864865,607,8.544481981981981,1347,18.96114864864865,607,8.544481981981981,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1954,27.50563063063063,0,0.0,0,0.0,-10.416666666666668,78.95551801801801,68.53885135135135,-3.710828848434623,0,25.78214012739161,29.279029644425272,25.78214012739161,29.279029644425272,25.78214012739161,29.279029644425272,-12.900605821902142,-7.974934926716537
