mode,rule,n,opposes_original_verdict_gpt_minus_claude_cue_effect_pp,strict_reversal_gpt_minus_claude_cue_effect_pp,final_correct_gpt_minus_claude_cue_effect_pp,opposes_original_verdict_gpt_minus_claude_cue_effect_lower_95,opposes_original_verdict_gpt_minus_claude_cue_effect_upper_95,strict_reversal_gpt_minus_claude_cue_effect_lower_95,strict_reversal_gpt_minus_claude_cue_effect_upper_95,final_correct_gpt_minus_claude_cue_effect_lower_95,final_correct_gpt_minus_claude_cue_effect_upper_95
static,band_40_60,349,43.553008595988544,43.553008595988544,-29.22636103151863,37.249283667621775,49.8567335243553,37.249283667621775,49.8567335243553,-36.38968481375358,-22.349570200573066
static,band_45_55,349,43.553008595988544,43.553008595988544,-29.22636103151863,37.249283667621775,49.8567335243553,37.249283667621775,49.8567335243553,-36.38968481375358,-22.349570200573066
static,band_35_65,349,43.553008595988544,38.96848137535817,-25.501432664756447,37.249283667621775,49.8567335243553,32.378223495702,45.55873925501432,-32.9512893982808,-18.33810888252149
static,binary_50_tie_violation,349,43.553008595988544,43.553008595988544,-29.22636103151863,37.249283667621775,49.8567335243553,37.249283667621775,49.8567335243553,-36.38968481375358,-22.349570200573066
static,binary_50_tie_no_violation,349,43.553008595988544,43.553008595988544,-29.22636103151863,37.249283667621775,49.8567335243553,37.249283667621775,49.8567335243553,-36.38968481375358,-22.349570200573066
adaptive,band_40_60,349,23.20916905444126,23.20916905444126,-13.753581661891118,16.332378223495702,29.799426934097422,16.332378223495702,29.799426934097422,-20.630372492836678,-7.156160458452761
adaptive,band_45_55,349,22.922636103151863,22.922636103151863,-14.040114613180515,16.332378223495702,29.512893982808023,16.332378223495702,29.512893982808023,-20.916905444126076,-7.163323782234957
adaptive,band_35_65,349,22.636103151862464,18.911174785100286,-9.742120343839542,16.045845272206304,29.512893982808023,12.320916905444125,25.501432664756447,-16.6189111747851,-3.438395415472779
adaptive,binary_50_tie_violation,349,22.922636103151863,22.922636103151863,-14.899713467048711,16.045845272206304,29.226361031518625,16.045845272206304,29.226361031518625,-21.7836676217765,-8.015759312320956
adaptive,binary_50_tie_no_violation,349,22.922636103151863,22.922636103151863,-14.899713467048711,16.045845272206304,29.226361031518625,16.045845272206304,29.226361031518625,-21.7836676217765,-8.015759312320956
