run,model,arm,n,judgments,likelihood_shift,likelihood_shift_lo,likelihood_shift_hi,absolute_shift,absolute_shift_lo,absolute_shift_hi,judgment_change_pct,judgment_change_pct_lo,judgment_change_pct_hi,reversal_pct,reversal_pct_lo,reversal_pct_hi,to_abstention_pct,to_abstention_pct_lo,to_abstention_pct_hi,from_abstention_pct,from_abstention_pct_lo,from_abstention_pct_hi,likelihood_shift_family18_lo,likelihood_shift_family18_hi
turkey,openai/gpt-4o-mini,Turkey,768,725,0.109375,-0.16018836104389997,0.38075293350717054,2.23828125,2.022584701665125,2.4796362676423556,4.166666666666667,2.7630671208243998,5.60644112050272,0.2604166666666667,0.0,0.6544502617801047,1.953125,1.0457516339869282,2.9986962190352022,1.953125,1.0416666666666667,2.9947916666666665,-0.292097554319234,0.5351503375726259
turkey,openai/gpt-4o-mini,Russia,768,725,0.6634114583333334,0.40908201967524005,0.9367923387096773,2.2076822916666665,1.985890522875817,2.446035562292064,4.296875,2.8831667223464312,5.759229340823619,0.390625,0.0,0.905592067779796,1.5625,0.7782101167315175,2.486910994764398,2.34375,1.4248243838352692,3.4446004301222044,0.2579552242858694,1.08782358782622
turkey,openai/gpt-4o-mini,Ukraine,768,725,0.6953125,0.44310949173237313,0.9813790691084266,2.2473958333333335,2.037786458333333,2.488225519756343,4.557291666666667,3.1086074627465154,6.064618265384287,0.2604166666666667,0.0,0.6544502617801047,1.5625,0.7666223404255321,2.4870741779005363,2.734375,1.6667685473847222,3.9630414511448135,0.3013601079985715,1.118178783915878
turkey,openai/gpt-4.1-mini,Turkey,768,725,0.361328125,-0.09466842836688284,0.7939391179387536,3.638671875,3.2797100477042336,4.015663134894459,7.8125,5.997002490577682,9.68586387434555,0.5208333333333334,0.12819693094629156,1.0471547281672646,4.166666666666667,2.849740932642487,5.670171095938851,3.125,1.95822454308094,4.398590043501866,-0.34794682043509834,1.0553160893484577
turkey,openai/gpt-4.1-mini,Russia,768,725,1.2180989583333333,0.69098633301787,1.7546872112719427,3.8873697916666665,3.448059684339565,4.373380729192986,8.984375,6.976519129782446,11.024979931177999,1.171875,0.5161290322580645,1.9531886611799214,3.7760416666666665,2.496632935666222,5.297672910445507,4.036458333333333,2.7130907726931732,5.454545454545454,0.38692178297059254,2.0854472900060266
turkey,openai/gpt-4.1-mini,Ukraine,768,725,1.3268229166666667,0.8024149733299467,1.908692564208918,3.8450520833333335,3.388745148771022,4.347151170109855,8.984375,6.949718394672524,11.15556812713105,0.6510416666666666,0.13020833333333334,1.277139208173691,4.166666666666667,2.748601272969921,5.736636245110821,4.166666666666667,2.8458707173559237,5.688121967267043,0.5300381744010485,2.185699730242053
turkey,openai/gpt-5.6-sol,Turkey,768,725,-1.0910156250000005,-1.8912768652804486,-0.4092681177603566,4.359244791666667,3.6895175314996504,5.023698804334288,7.421875,5.657894736842105,9.269165029205135,1.0416666666666667,0.3875968992248062,1.8158825610187475,2.734375,1.5624492035110533,4.020752269779507,3.6458333333333335,2.3684210526315788,4.980340760157274,-2.2801286413802355,0.04291478569392084
turkey,openai/gpt-5.6-sol,Russia,768,725,-1.0930989583333333,-1.840415353116539,-0.430927518807855,4.127734375,3.507323530017221,4.783417972594438,7.682291666666667,5.851755526657997,9.567496723460026,1.4322916666666667,0.6501950585175552,2.346805736636245,2.34375,1.305440477122559,3.3986928104575163,3.90625,2.617715498066591,5.290664774861242,-2.1559030472904985,-0.06987050365680451
turkey,openai/gpt-5.6-sol,Ukraine,768,725,-1.4045572916666667,-2.1956746878397166,-0.695890259576613,4.467057291666666,3.802001168674126,5.175253475573608,8.203125,6.330545136284071,10.05252674134591,1.3020833333333333,0.5235430996133182,2.2078639825713946,2.9947916666666665,1.8228574040962289,4.230905006418484,3.90625,2.6041666666666665,5.208333333333333,-2.563297344959116,-0.34103343964521743
uk,openai/gpt-4o-mini,UK,768,725,-1.3307291666666667,-1.599373351422187,-1.066708338193821,2.53125,2.3200546460226135,2.7620568407364314,4.427083333333333,3.026315789473684,5.935513660737084,0.0,0.0,0.0,2.9947916666666665,1.8420447472162667,4.18848167539267,1.4322916666666667,0.6510416666666666,2.34375,-1.7411879900452092,-0.9208757118831927
